Latitude,Longitude,Sample Date,red,blue,lwir11,NDVI_red,EVI,SAVI,BSI_full,AWEI_nsh,AWEI_sh,NRI,Red_Blue_ratio,Green_Red_ratio,Turbidity_Red
-28.760833,17.730278,02-01-2011,,,,,,,,-8867.25,,,,,
-26.861111,28.884722,03-01-2011,,,,,,,,-50279.125,,,,,
-26.45,28.085833,03-01-2011,,,,,,,,-71871.25,,,,,
-27.671111,27.236944,03-01-2011,,,,,,,,-45396.0,,,,,
-27.356667,27.286389,03-01-2011,,,,,,,,-43377.375,,,,,
-27.010111,26.698083,04-01-2011,,,,,,,,-23154.0,,,,,
-25.127778,27.628889,04-01-2011,,,,,,,,-22212.0,,,,,
-25.20639,27.558,04-01-2011,,,,,,,,-26404.375,,,,,
-24.69514,27.40906,04-01-2011,,,,,,,,-35492.625,,,,,
-26.984722,26.632278,04-01-2011,,,,,,,,-51227.625,,,,,
-28.141944,26.417778,04-01-2011,,,,,,,,-50414.5,,,,,
-27.398611,26.614722,04-01-2011,,,,,,,,-42792.5,,,,,
-33.501667,21.624167,04-01-2011,,,,,,,,,,,,,
-32.502778,19.535833,04-01-2011,,,,,,,,-76023.25,,,,,
-25.459639,28.264306,04-01-2011,,,,,,,,-58931.125,,,,,
-27.495556,26.074722,04-01-2011,,,,,,,,-71799.75,,,,,
-26.648056,27.089444,05-01-2011,,,,,,,,-44238.25,,,,,
-26.970278,27.211111,05-01-2011,,,,,,,,-11451.75,,,,,
-27.389722,26.463889,05-01-2011,,,,,,,,-13354.625,,,,,
-27.044444,27.005,05-01-2011,,,,,,,,-48486.875,,,,,
-30.830556,26.921389,06-01-2011,,,,,,,,-8395.0,,,,,
-27.00222,28.76528,06-01-2011,,,,,,,,-46263.875,,,,,
-27.02314,28.59389,06-01-2011,,,,,,,,-29605.875,,,,,
-30.679722,26.7125,06-01-2011,,,,,,,,-13276.25,,,,,
-30.160091,27.40124,06-01-2011,,,,,,,,-39014.125,,,,,
-32.595833,19.009444,06-01-2011,,,,,,,,-54982.0,,,,,
-25.99136,27.84208,10-01-2011,,,,,,,,-58793.125,,,,,
-26.73806,27.59194,10-01-2011,,,,,,,,-18741.375,,,,,
-26.45,28.085833,10-01-2011,,,,,,,,-71871.25,,,,,
-30.860139,29.07125,10-01-2011,,,,,,,,-34042.875,,,,,
-27.356667,27.286389,10-01-2011,,,,,,,,-43377.375,,,,,
-27.010111,26.698083,11-01-2011,,,,,,,,-23154.0,,,,,
-25.73411,27.21422,11-01-2011,,,,,,,,-72505.625,,,,,
-26.984722,26.632278,11-01-2011,,,,,,,,-51227.625,,,,,
-27.398611,26.614722,11-01-2011,,,,,,,,-42792.5,,,,,
-27.671111,27.236944,11-01-2011,,,,,,,,-45396.0,,,,,
-29.160278,26.573333,11-01-2011,,,,,,,,,,,,,
-34.250556,20.9925,11-01-2011,,,,,,,,-49350.125,,,,,
-25.459639,28.264306,11-01-2011,,,,,,,,-58931.125,,,,,
-25.810483,27.909552,12-01-2011,,,,,,,,-47044.375,,,,,
-27.273889,28.49,12-01-2011,,,,,,,,-26399.0,,,,,
-27.4275,28.525833,12-01-2011,,,,,,,,-75308.125,,,,,
-28.883333,27.89,12-01-2011,,,,,,,,-44166.125,,,,,
-27.00222,28.76528,13-01-2011,,,,,,,,-46263.875,,,,,
-27.02314,28.59389,13-01-2011,,,,,,,,-29605.875,,,,,
-30.534167,24.961944,13-01-2011,,,,,,,,-45501.875,,,,,
-28.460833,21.248889,13-01-2011,,,,,,,,-34087.625,,,,,
-29.658056,25.973333,14-01-2011,,,,,,,,-39623.5,,,,,
-28.760833,17.730278,16-01-2011,,,,,,,,-8867.25,,,,,
-25.513889,31.224444,17-01-2011,,,,,,,,-44135.25,,,,,
-26.861111,28.884722,17-01-2011,,,,,,,,-50279.125,,,,,
-31.554722,29.245556,17-01-2011,,,,,,,,-50284.25,,,,,
-28.058889,30.373611,17-01-2011,,,,,,,,-41774.0,,,,,
-25.127778,27.628889,18-01-2011,,,,,,,,-22212.0,,,,,
-25.20639,27.558,18-01-2011,,,,,,,,-26404.375,,,,,
-24.69514,27.40906,18-01-2011,,,,,,,,-35492.625,,,,,
-25.681111,31.783333,18-01-2011,,,,,,,,-26320.375,,,,,
-27.802778,28.768333,18-01-2011,,,,,,,,-24454.625,,,,,
-27.398611,26.614722,18-01-2011,,,,,,,,-42792.5,,,,,
-31.104278,29.399722,18-01-2011,,,,,,,,,,,,,
-31.396,29.2651,18-01-2011,,,,,,,,-14277.25,,,,,
-33.38056,19.30167,18-01-2011,,,,,,,,-65234.25,,,,,
-33.313889,19.074722,18-01-2011,,,,,,,,-46193.375,,,,,
-27.495556,26.074722,18-01-2011,,,,,,,,-71799.75,,,,,
-24.396194,27.089833,19-01-2011,,,,,,,,,,,,,
-26.970278,27.211111,19-01-2011,,,,,,,,-11451.75,,,,,
-26.880278,26.965,19-01-2011,,,,,,,,-52410.875,,,,,
-27.273889,28.49,19-01-2011,,,,,,,,-26399.0,,,,,
-27.3,28.586944,19-01-2011,,,,,,,,-55934.625,,,,,
-27.044444,27.005,19-01-2011,,,,,,,,-48486.875,,,,,
-30.568333,29.422778,19-01-2011,,,,,,,,-47891.875,,,,,
-30.570833,29.150556,19-01-2011,,,,,,,,,,,,,
-34.031944,22.053333,19-01-2011,,,,,,,,-25579.0,,,,,
-33.13083,18.86278,19-01-2011,,,,,,,,-51276.0,,,,,
-33.7075,18.974444,19-01-2011,,,,,,,,-50064.625,,,,,
-25.578778,29.127472,19-01-2011,,,,,,,,-64426.5,,,,,
-26.006389,29.253889,20-01-2011,,,,,,,,,,,,,
-27.02314,28.59389,20-01-2011,,,,,,,,-29605.875,,,,,
-30.679722,26.7125,20-01-2011,,,,,,,,-13276.25,,,,,
-28.460833,21.248889,20-01-2011,,,,,,,,-34087.625,,,,,
-30.775867,29.032217,20-01-2011,,,,,,,,,,,,,
-24.925278,29.324444,21-01-2011,,,,,,,,-53478.0,,,,,
-28.460833,21.248889,21-01-2011,,,,,,,,-34087.625,,,,,
-24.679167,30.8025,24-01-2011,,,,,,,,-62397.75,,,,,
-25.99136,27.84208,24-01-2011,,,,,,,,-58793.125,,,,,
-25.49037,30.6986,24-01-2011,,,,,,,,-27784.5,,,,,
-26.970278,27.211111,24-01-2011,,,,,,,,-11451.75,,,,,
-27.671111,27.236944,24-01-2011,,,,,,,,-45396.0,,,,,
-27.356667,27.286389,24-01-2011,,,,,,,,-43377.375,,,,,
-27.010111,26.698083,25-01-2011,,,,,,,,-23154.0,,,,,
